Hauptprobenummer;Bezeichnung;Probe-Entnahmeart;Probenahme-Beginn Datum;Probenahme-Beginn Zeit;Probenahme-Ende Datum;Probenahme-Ende Zeit;Umweltbereich;Messprogrammgruppe;Entnahmestelle;Herkunftsstaat;Methode;Pruefmerkmal;Ergebnis;Einheit
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Cer-141 Ce-141;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Cer-144 Ce-144;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Americium-241 Am-241;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Messzeit;90000;s
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Scandium-47 Sc-47;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Gallium-67 Ga-67;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Germanium-68 Ge-68;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Zirkon-89 Zr-89;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Technetium-99m Tc-99m;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Silber-111 Ag-111;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Zinn-117m Sn-117m;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Antimon-127 Sb-127;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Tellur-129m Te-129m;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Tellur-131m Te-131m;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Cäsium-136 Cs-136;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Cer-143 Ce-143;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Neodym-147 Nd-147;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Promethium-151 Pm-151;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Samarium-153 Sm-153;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Europium-154 Eu-154;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Europium-155 Eu-155;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Ytterbium-169 Yb-169;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Lutetium-177 Lu-177;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Lutetium-177m Lu-177m;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Rhenium-186 Re-186;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Iridium-192 Ir-192;n.n.;Bq/kg(FM)
202400080;Babynahrung Gemüse und Hühnchen mit Nudeln;Einzelprobe;13.03.2024;10:48;13.03.2024;10:48;Säuglings- und Kleinkindernahrung;IMIS Routinemessprogramm;Groß-/Einzelhandel (Inland);Deutschland;Gammaspektrometrie (fest - FM);Neptunium-239 Np-239;n.n.;Bq/kg(FM)
